#epoch loss_f loss_bc_u_top loss_bc_u_rest loss_bc_v u_avg u_std v_avg v_std
47 1.0144e-02 1.7579e-01 2.7147e-01 2.2887e-04 5.8147e-01 7.0676e-03 -1.2325e-02 7.5495e-03
48 1.0124e-02 1.7562e-01 2.6999e-01 2.3255e-04 5.8127e-01 7.2959e-03 -1.4910e-02 7.5988e-03
49 1.0129e-02 1.7579e-01 2.6802e-01 2.5106e-04 5.8068e-01 7.5353e-03 -1.7213e-02 7.6455e-03
50 1.0158e-02 1.7628e-01 2.6561e-01 2.7971e-04 5.7976e-01 7.7851e-03 -1.9244e-02 7.6897e-03
51 1.0207e-02 1.7705e-01 2.6282e-01 3.1457e-04 5.7855e-01 8.0445e-03 -2.1018e-02 7.7316e-03
52 1.0275e-02 1.7807e-01 2.5970e-01 3.5242e-04 5.7707e-01 8.3127e-03 -2.2546e-02 7.7714e-03
53 1.0360e-02 1.7932e-01 2.5630e-01 3.9068e-04 5.7538e-01 8.5888e-03 -2.3840e-02 7.8095e-03
54 1.0460e-02 1.8075e-01 2.5266e-01 4.2732e-04 5.7350e-01 8.8718e-03 -2.4912e-02 7.8461e-03
55 1.0573e-02 1.8234e-01 2.4885e-01 4.6081e-04 5.7148e-01 9.1611e-03 -2.5774e-02 7.8818e-03
56 1.0696e-02 1.8407e-01 2.4489e-01 4.9004e-04 5.6934e-01 9.4555e-03 -2.6438e-02 7.9169e-03
57 1.0828e-02 1.8590e-01 2.4083e-01 5.1431e-04 5.6712e-01 9.7541e-03 -2.6916e-02 7.9519e-03
58 1.0968e-02 1.8781e-01 2.3672e-01 5.3321e-04 5.6485e-01 1.0056e-02 -2.7221e-02 7.9873e-03
59 1.1111e-02 1.8978e-01 2.3259e-01 5.4660e-04 5.6257e-01 1.0360e-02 -2.7362e-02 8.0236e-03
60 1.1258e-02 1.9177e-01 2.2846e-01 5.5458e-04 5.6029e-01 1.0665e-02 -2.7354e-02 8.0613e-03
